año_ocu,color_veh,depto_ocu,día_ocu,día_sem_ocu,fall_les,g_hora_5,hora_ocu,mes_ocu,modelo_veh,tipo_eve,tipo_veh
2019,5,1,1,2,2,1,5,1,2018,6,4
2019,5,1,1,2,2,3,21,1,2018,1,4
2019,5,1,1,2,2,3,21,1,2018,1,4
2019,5,1,1,2,2,1,7,1,2018,1,4
2019,3,1,1,2,2,1,11,1,2006,1,4
2019,1,1,1,2,1,1,8,1,9999,6,4
2019,99,1,1,2,2,1,0,1,9999,1,4
2019,1,1,1,2,2,1,4,1,9999,6,4
2019,1,1,1,2,2,1,4,1,9999,6,4
2019,3,1,1,2,2,1,4,1,9999,1,4
2019,5,1,1,2,2,1,11,1,9999,1,4
2019,99,1,1,2,2,2,12,1,9999,1,1
2019,99,1,1,2,2,2,16,1,9999,3,2
2019,99,1,1,2,2,2,16,1,9999,3,2
2019,99,1,1,2,2,2,16,1,9999,3,2
2019,3,20,1,2,2,1,4,1,9999,6,4
2019,2,20,1,2,2,1,9,1,9999,6,4
2019,2,19,1,2,2,1,11,1,9999,1,1
2019,2,19,1,2,2,1,11,1,9999,1,1
2019,2,19,1,2,2,1,11,1,9999,1,1
2019,2,19,1,2,2,1,11,1,9999,1,1
2019,99,19,1,2,2,1,11,1,9999,1,4
2019,99,5,1,2,2,3,22,1,9999,1,4
2019,5,5,1,2,2,1,1,1,9999,1,4
2019,5,5,1,2,2,1,1,1,2016,1,4
2019,3,5,1,2,1,1,7,1,9999,6,4
2019,6,5,1,2,2,2,15,1,9999,3,1
2019,6,5,1,2,2,2,15,1,9999,3,1
2019,6,5,1,2,2,2,15,1,9999,3,1
2019,6,5,1,2,2,2,15,1,9999,3,1
2019,6,5,1,2,2,2,15,1,9999,3,1
2019,6,5,1,2,2,2,15,1,9999,3,1
2019,6,5,1,2,2,2,15,1,9999,3,1
2019,6,5,1,2,2,2,15,1,9999,3,1
2019,99,6,1,2,1,1,5,1,9999,6,4
2019,99,6,1,2,1,1,0,1,9999,6,4
2019,9,10,1,2,2,2,16,1,9999,1,3
2019,9,10,1,2,2,2,16,1,9999,1,3
2019,9,10,1,2,2,2,16,1,9999,1,3
2019,9,10,1,2,2,2,16,1,9999,1,3
2019,9,10,1,2,2,2,16,1,9999,1,3
2019,9,10,1,2,2,2,16,1,9999,1,3
2019,9,10,1,2,2,2,16,1,9999,1,3
2019,9,10,1,2,2,2,16,1,9999,1,3
2019,9,10,1,2,2,2,16,1,9999,1,3
2019,9,10,1,2,2,2,16,1,9999,1,3
2019,9,10,1,2,2,2,16,1,9999,1,3
2019,9,10,1,2,2,2,16,1,9999,1,3
2019,9,10,1,2,2,2,16,1,9999,1,3
2019,9,10,1,2,2,2,16,1,9999,1,3
2019,9,10,1,2,1,2,16,1,9999,1,3
2019,9,10,1,2,2,2,16,1,9999,1,3
2019,6,9,1,2,2,1,8,1,9999,1,4
2019,6,9,1,2,2,1,8,1,9999,1,4
2019,5,9,1,2,2,3,21,1,9999,1,4
2019,99,12,1,2,2,2,14,1,9999,1,4
2019,99,12,1,2,2,2,14,1,9999,1,4
2019,4,12,1,2,2,1,1,1,9999,1,3
2019,4,12,1,2,2,1,1,1,9999,1,3
2019,4,12,1,2,2,1,1,1,9999,1,3
2019,99,12,1,2,1,1,3,1,9999,6,4
2019,4,8,1,2,2,3,19,1,9999,1,3
2019,5,8,1,2,2,3,19,1,9999,1,3
2019,3,15,1,2,2,2,16,1,2012,1,4
2019,3,15,1,2,2,2,16,1,2014,1,4
2019,3,15,1,2,2,2,16,1,2012,1,4
2019,4,18,1,2,2,1,4,1,9999,4,4
2019,4,18,1,2,2,1,4,1,9999,4,4
2019,2,18,1,2,2,1,8,1,2006,1,1
2019,99,18,1,2,2,1,8,1,9999,1,4
2019,99,18,1,2,2,1,8,1,9999,1,4
2019,99,17,1,2,1,1,11,1,9999,6,4
2019,5,17,1,2,1,1,0,1,9999,1,4
2019,5,17,1,2,2,3,18,1,9999,1,4
2019,5,17,1,2,2,3,18,1,9999,1,4
2019,99,14,1,2,2,3,18,1,9999,4,4
2019,99,7,1,2,2,3,21,1,9999,3,1
2019,99,7,1,2,2,3,21,1,9999,3,1
2019,3,4,1,2,1,1,5,1,9999,6,4
2019,5,3,1,2,1,1,0,1,9999,6,4
2019,5,1,2,3,2,1,6,1,2017,1,4
2019,3,22,2,3,2,3,19,1,9999,1,4
2019,1,22,2,3,2,3,19,1,2012,1,4
2019,5,22,2,3,2,3,20,1,9999,1,4
2019,5,22,2,3,2,3,20,1,9999,1,4
2019,1,21,2,3,2,2,16,1,2003,1,14
2019,99,5,2,3,1,1,9,1,9999,1,4
2019,5,5,2,3,2,1,5,1,9999,1,4
2019,5,5,2,3,2,2,14,1,9999,1,4
2019,4,5,2,3,2,1,0,1,9999,2,1
2019,4,6,2,3,2,3,19,1,9999,1,18
2019,4,6,2,3,2,3,19,1,9999,1,18
2019,4,6,2,3,2,3,19,1,9999,1,18
2019,3,16,2,3,2,1,9,1,2011,1,2
2019,3,16,2,3,2,1,9,1,2011,1,2
2019,2,16,2,3,2,1,9,1,2018,1,5
2019,99,15,2,3,1,3,18,1,9999,1,4
2019,99,15,2,3,2,3,18,1,9999,1,4
2019,99,15,2,3,1,3,18,1,9999,1,4
2019,99,15,2,3,2,3,18,1,9999,1,4
2019,99,15,2,3,2,3,19,1,9999,1,4
2019,99,15,2,3,2,3,19,1,9999,1,4
2019,5,1,3,4,2,1,8,1,9999,1,4
2019,8,1,3,4,2,3,21,1,2007,1,1
2019,8,1,3,4,2,3,21,1,2007,1,1
2019,8,1,3,4,2,3,21,1,2007,1,1
2019,99,22,3,4,1,2,15,1,9999,3,12
2019,1,5,3,4,2,2,17,1,9999,1,4
2019,5,5,3,4,2,2,17,1,9999,1,4
2019,99,5,3,4,2,3,18,1,9999,1,4
2019,99,5,3,4,2,3,18,1,9999,1,4
2019,99,5,3,4,2,3,19,1,9999,6,4
2019,2,6,3,4,2,3,21,1,9999,6,4
2019,5,12,3,4,2,2,16,1,9999,1,4
2019,4,18,3,4,2,3,23,1,2017,1,4
2019,4,18,3,4,2,3,23,1,2017,1,4
2019,4,18,3,4,2,3,23,1,2017,1,4
2019,4,18,3,4,2,3,23,1,2017,1,4
2019,5,18,3,4,2,1,6,1,2012,1,22
2019,4,18,3,4,2,1,6,1,2005,1,2
2019,99,17,3,4,2,1,7,1,9999,6,4
2019,2,4,3,4,2,2,14,1,9999,3,3
2019,2,4,3,4,2,2,14,1,9999,3,3
2019,2,4,3,4,2,2,14,1,9999,3,3
2019,2,4,3,4,2,2,14,1,9999,3,3
2019,3,1,4,5,2,1,10,1,9999,1,4
2019,5,1,4,5,2,1,5,1,2012,1,4
2019,5,1,4,5,2,1,4,1,2018,1,4
2019,3,1,4,5,2,3,23,1,9999,1,4
2019,3,1,4,5,2,2,14,1,9999,1,4
2019,5,1,4,5,2,3,20,1,9999,1,4
2019,5,1,4,5,2,3,20,1,9999,1,4
2019,3,1,4,5,2,3,18,1,9999,1,4
2019,99,1,4,5,2,2,13,1,9999,1,4
2019,6,22,4,5,2,3,18,1,9999,1,3
2019,99,20,4,5,2,1,10,1,9999,3,99
2019,1,5,4,5,2,1,10,1,9999,1,4
2019,5,5,4,5,1,3,18,1,9999,1,4
2019,5,5,4,5,2,3,18,1,9999,1,4
2019,99,10,4,5,2,3,20,1,9999,1,4
2019,99,10,4,5,2,3,20,1,9999,1,4
2019,5,11,4,5,2,1,5,1,9999,6,4
2019,5,11,4,5,2,1,5,1,9999,6,4
2019,6,9,4,5,2,1,8,1,9999,2,3
2019,6,9,4,5,2,1,8,1,9999,2,3
2019,6,9,4,5,2,1,8,1,9999,2,3
2019,6,9,4,5,2,1,8,1,9999,2,3
2019,6,9,4,5,2,1,8,1,9999,2,3
2019,6,9,4,5,2,1,8,1,9999,2,3
2019,6,9,4,5,2,1,8,1,9999,2,3
2019,6,9,4,5,1,1,8,1,9999,2,3
2019,3,12,4,5,2,3,23,1,2003,4,12
2019,3,12,4,5,2,3,23,1,2003,4,12
2019,3,12,4,5,2,3,23,1,2003,4,12
2019,3,12,4,5,2,3,23,1,2003,4,12
2019,3,12,4,5,2,3,23,1,2003,4,12
2019,3,12,4,5,2,3,23,1,2003,4,12
2019,3,12,4,5,2,3,23,1,2003,4,12
2019,3,12,4,5,2,3,23,1,2003,4,12
2019,3,12,4,5,2,3,23,1,2003,4,12
2019,3,12,4,5,2,3,23,1,2003,4,12
2019,3,12,4,5,1,3,23,1,2003,4,12
2019,3,12,4,5,1,3,23,1,2003,4,12
2019,3,12,4,5,1,3,23,1,2003,4,12
2019,3,12,4,5,1,3,23,1,2003,4,12
2019,3,12,4,5,1,3,23,1,2003,4,12
2019,3,12,4,5,1,3,23,1,2003,4,12
2019,3,12,4,5,1,3,23,1,2003,4,12
2019,6,16,4,5,2,2,16,1,9999,1,8
2019,6,16,4,5,2,2,16,1,9999,1,12
2019,1,17,4,5,2,3,21,1,2017,1,4
2019,1,17,4,5,2,3,21,1,2017,1,4
2019,4,1,5,6,2,1,7,1,2007,1,4
2019,2,1,5,6,2,1,2,1,2018,1,1
2019,5,1,5,6,2,1,11,1,9999,1,4
2019,3,1,5,6,2,2,13,1,2015,1,4
2019,7,1,5,6,2,1,8,1,9999,1,4
2019,99,1,5,6,2,2,16,1,9999,1,4
2019,5,1,5,6,2,2,15,1,9999,1,4
2019,5,1,5,6,2,3,21,1,2012,1,4
2019,5,1,5,6,2,3,21,1,2012,1,4
2019,1,5,5,6,2,1,5,1,9999,1,4
2019,5,5,5,6,2,1,5,1,9999,1,4
2019,1,6,5,6,2,3,23,1,1990,1,3
2019,1,6,5,6,2,3,23,1,1990,1,3
2019,3,10,5,6,1,3,20,1,9999,1,4
2019,5,12,5,6,2,3,18,1,9999,1,4
2019,99,18,5,6,1,3,18,1,9999,1,4
2019,99,18,5,6,1,3,18,1,9999,1,4
2019,99,18,5,6,1,3,18,1,9999,1,4
2019,5,18,5,6,2,2,13,1,9999,6,4
2019,1,17,5,6,2,3,21,1,9999,1,4
2019,1,17,5,6,2,3,21,1,9999,1,4
2019,1,17,5,6,2,3,21,1,9999,1,4
2019,1,17,5,6,2,3,21,1,9999,1,4
2019,1,17,5,6,2,3,21,1,9999,1,4
2019,1,17,5,6,2,3,21,1,9999,1,4
2019,1,20,6,7,2,2,16,1,9999,1,4
2019,99,18,6,7,1,1,11,1,9999,4,4
2019,5,1,6,7,2,3,21,1,9999,1,1
2019,5,1,6,7,2,3,21,1,9999,1,1
2019,5,1,6,7,2,3,21,1,9999,1,1
2019,1,1,6,7,2,2,16,1,9999,4,4
2019,99,1,6,7,2,3,19,1,9999,2,1
2019,99,1,6,7,2,3,19,1,9999,2,1
2019,99,4,6,7,2,3,20,1,9999,2,4
2019,99,4,6,7,2,3,20,1,9999,2,4
2019,99,4,6,7,2,3,20,1,9999,2,4
2019,2,4,7,1,2,2,15,1,1994,1,12
2019,3,3,7,1,1,1,3,1,9999,2,4
2019,5,11,7,1,2,3,21,1,9999,1,4
2019,2,5,8,2,2,3,18,1,2015,4,4
2019,99,1,8,2,2,1,0,1,9999,1,4
2019,1,1,8,2,2,2,17,1,9999,2,12
2019,2,1,8,2,2,3,21,1,9999,4,4
2019,5,4,8,2,2,2,17,1,9999,1,4
2019,3,1,8,2,2,2,14,1,9999,1,4
2019,1,1,8,2,1,1,0,1,9999,1,4
2019,4,1,9,3,1,1,6,1,9999,1,1
2019,5,20,9,3,1,1,7,1,9999,1,4
2019,2,1,9,3,2,1,9,1,9999,1,4
2019,3,1,9,3,2,3,22,1,9999,1,4
2019,1,7,9,3,2,1,6,1,9999,1,5
2019,1,7,9,3,2,1,6,1,9999,1,5
2019,8,7,9,3,2,1,6,1,1991,1,12
2019,8,7,9,3,2,1,6,1,1991,1,12
2019,8,7,9,3,2,1,6,1,1991,1,12
2019,2,4,9,3,2,2,16,1,2000,1,6
2019,8,7,10,4,2,2,15,1,9999,3,12
2019,8,7,10,4,2,2,15,1,9999,3,12
2019,8,7,10,4,2,2,15,1,9999,3,12
2019,8,7,10,4,2,2,15,1,9999,3,12
2019,8,7,10,4,2,2,15,1,9999,3,12
2019,8,7,10,4,2,2,15,1,9999,3,12
2019,8,7,10,4,2,2,15,1,9999,3,12
2019,8,7,10,4,2,2,15,1,9999,3,12
2019,8,7,10,4,2,2,15,1,9999,3,12
2019,8,7,10,4,2,2,15,1,9999,3,12
2019,8,7,10,4,2,2,15,1,9999,3,12
2019,99,5,10,4,2,3,21,1,9999,1,4
2019,99,5,10,4,1,3,21,1,9999,1,4
2019,5,1,11,5,2,1,9,1,9999,1,4
2019,99,1,11,5,2,1,11,1,9999,6,4
2019,6,1,11,5,2,1,8,1,9999,1,4
2019,1,1,11,5,2,2,17,1,9999,1,4
2019,4,1,11,5,2,1,0,1,9999,2,2
2019,99,1,11,5,2,1,7,1,9999,1,5
2019,1,1,11,5,2,1,9,1,9999,1,4
2019,1,1,11,5,2,1,9,1,9999,1,4
2019,5,1,11,5,2,1,0,1,2017,1,4
2019,5,1,11,5,2,1,0,1,2017,1,4
2019,5,1,11,5,2,2,16,1,9999,1,4
2019,99,20,11,5,2,2,15,1,9999,1,4
2019,5,19,11,5,2,1,3,1,1987,3,1
2019,5,19,11,5,2,1,3,1,1987,3,1
2019,9,10,11,5,1,1,8,1,9999,1,4
2019,9,10,11,5,1,1,8,1,9999,1,4
2019,5,11,11,5,2,3,20,1,9999,1,4
2019,5,11,11,5,2,3,20,1,9999,1,4
2019,5,11,11,5,2,3,20,1,9999,1,4
2019,99,12,11,5,1,1,11,1,9999,2,99
2019,3,16,11,5,1,1,1,1,9999,2,1
2019,3,15,11,5,2,2,17,1,9999,2,4
2019,3,15,11,5,2,2,17,1,9999,2,4
2019,1,17,11,5,2,3,18,1,9999,1,4
2019,1,1,12,6,2,1,7,1,9999,1,4
2019,3,1,12,6,2,2,12,1,9999,1,4
2019,3,1,12,6,1,3,21,1,9999,1,4
2019,3,1,12,6,2,3,21,1,9999,1,4
2019,1,1,12,6,2,3,22,1,2016,1,4
2019,1,1,12,6,2,1,9,1,2009,1,4
2019,5,1,12,6,2,3,22,1,9999,1,4
2019,5,1,12,6,2,2,17,1,2017,1,4
2019,1,1,12,6,2,3,23,1,9999,1,4
2019,5,1,12,6,2,2,15,1,9999,1,4
2019,5,1,12,6,1,3,23,1,9999,6,4
2019,3,1,12,6,2,1,7,1,9999,1,4
2019,1,19,12,6,1,3,23,1,9999,6,4
2019,4,5,12,6,2,3,19,1,9999,3,2
2019,4,5,12,6,1,3,19,1,9999,3,2
2019,4,5,12,6,1,3,19,1,9999,3,2
2019,4,5,12,6,1,3,19,1,9999,3,2
2019,4,5,12,6,2,3,19,1,9999,3,2
2019,4,5,12,6,2,3,19,1,9999,3,2
2019,4,5,12,6,2,3,19,1,9999,3,2
2019,4,5,12,6,2,3,19,1,9999,3,2
2019,11,5,12,6,2,3,18,1,9999,3,2
2019,11,5,12,6,2,3,18,1,9999,3,2
2019,11,5,12,6,2,3,18,1,9999,3,2
2019,11,5,12,6,2,3,18,1,9999,3,2
2019,11,5,12,6,2,3,18,1,9999,3,2
2019,11,5,12,6,2,3,18,1,9999,3,2
2019,11,5,12,6,2,3,18,1,9999,3,2
2019,5,10,12,6,2,3,18,1,9999,1,4
2019,5,10,12,6,2,3,18,1,9999,1,4
2019,5,10,12,6,2,3,23,1,9999,6,4
2019,1,18,12,6,1,1,7,1,2011,1,4
2019,5,18,12,6,2,3,18,1,9999,1,4
2019,5,18,12,6,2,3,18,1,9999,1,4
2019,5,18,12,6,2,3,18,1,9999,1,4
2019,5,18,12,6,2,3,18,1,9999,1,4
2019,5,18,12,6,2,3,18,1,9999,1,4
2019,5,18,12,6,2,3,18,1,9999,1,4
2019,99,3,12,6,2,3,18,1,9999,1,4
2019,5,3,12,6,2,3,21,1,9999,1,4
2019,5,3,12,6,1,1,3,1,9999,2,4
2019,4,1,13,7,2,1,10,1,2017,1,4
2019,4,1,13,7,2,1,10,1,2017,1,4
2019,3,1,13,7,1,3,20,1,9999,2,4
2019,3,1,13,7,2,1,9,1,9999,1,4
2019,5,1,13,7,2,1,9,1,9999,1,4
2019,5,1,13,7,2,1,9,1,9999,1,4
2019,5,1,13,7,2,3,21,1,9999,1,4
2019,5,1,13,7,2,3,21,1,9999,1,4
